"no stimulus","10 min","15 min","30 min","1h","no stimulus","10 min","15 min","30 min","1h",
0.8317,6.6955,7.7585,7.6304,1.4397,992.0690,1089.0314,320.9635,357.3244,614.0952,1.0000
0.9245,1.6047,3.6513,3.7471,1.3688,735.7471,579.0810,269.3400,1311.6858,871.7638,1.0000
0.9236,6.3942,4.0994,1.4989,0.7904,834.9540,484.3631,180.0089,749.2141,477.1807,1.0000
0.9054,2.9850,1.2024,7.5563,4.6229,860.9902,602.8727,342.5107,447.1044,759.9877,1.0000
0.7273,3.6288,5.9493,9.4382,2.0350,336.2261,316.4745,562.4717,596.1392,485.2609,1.0000
0.9535,9.9599,3.3818,6.2163,5.2196,605.1172,546.3113,359.1200,836.7496,192.1292,1.0000
0.7958,5.9777,4.5458,1.4285,5.8024,537.7822,442.6154,633.8468,343.4085,685.0214,1.0000
0.9647,2.5912,1.5900,2.1494,0.8706,584.0189,434.5352,157.5639,276.5224,706.1197,1.0000
0.8102,7.0986,2.0131,1.2164,1.0608,707.4664,413.8858,379.3205,686.8170,786.0239,1.0000
0.9171,1.7128,2.6506,0.9735,4.8960,799.9398,342.5107,448.0022,620.3798,792.7574,1.0000
1.0019,2.1339,0.9011,0.9712,0.9502,447.1044,410.7435,1021.6964,934.1609,786.0239,1.0000
1.0731,2.3042,2.8365,2.0832,0.8908,473.5895,284.1537,371.6892,346.9997,419.7215,1.0000
1.2899,1.2603,0.6856,0.6123,0.8988,606.0150,497.8301,1002.8426,468.6516,763.1300,1.0000
0.6603,4.4143,4.5612,0.9524,0.9091,489.7499,682.3280,1228.1904,659.8830,678.2879,1.0000
0.8822,4.1991,1.1618,0.6984,0.7482,848.4210,483.9142,1263.6535,892.8621,579.5299,1.0000
0.9368,3.1709,1.4358,1.1069,0.6389,801.2865,197.5160,894.6577,647.3138,670.6566,1.0000
0.7558,1.2269,5.4516,3.7216,1.1308,500.5235,422.4149,984.4377,569.6541,1407.7504,1.0000
0.6718,1.3818,0.6801,0.8403,0.9767,724.5246,538.2311,799.9398,720.9334,670.6566,1.0000
0.6536,2.2239,1.0171,1.4440,0.9315,802.1843,584.9167,825.5271,518.4795,582.6722,1.0000
0.9546,5.4993,3.1758,0.8493,1.1996,509.0526,610.9529,648.2116,925.1829,268.8911,1.0000
0.8423,3.3958,0.9357,0.9478,1.5659,314.6789,274.7268,184.4979,608.2595,404.4589,1.0000
0.8175,0.9538,1.3502,1.2847,2.1905,774.8014,1248.8398,226.6945,473.1406,641.0292,1.0000
0.6087,4.0359,1.1137,1.1831,1.5065,544.5157,1444.5602,336.2261,725.8713,577.2854,1.0000
0.8921,1.6480,6.1589,1.1676,5.6663,598.8326,336.2261,233.4280,301.6608,269.7889,1.0000
1.0656,1.2064,1.5658,2.0422,0.8998,676.4923,584.9167,209.1874,416.5792,717.3422,1.0000
1.1279,1.5997,1.9168,3.2155,1.4004,443.9621,549.0047,251.8329,997.0069,295.3762,1.0000
0.8487,2.8076,7.3285,0.7434,1.1788,303.9053,785.1261,399.0721,709.2620,395.0320,1.0000
0.8369,1.6473,7.0181,5.7038,0.9579,604.2194,456.5313,405.8056,983.0910,610.5040,1.0000
0.6469,2.5458,7.7591,3.4569,0.9839,473.5895,328.1459,450.2467,555.2893,393.2364,1.0000
0.8588,0.5688,1.3712,1.2589,0.9243,500.9724,1035.6123,501.4213,508.1548,728.1158,1.0000
0.6633,2.4201,2.1706,2.7446,0.9517,552.5959,550.8003,430.9440,1269.9381,688.6126,1.0000
0.8003,4.4867,7.2630,1.8158,1.0083,603.3216,464.6115,274.2779,783.3305,432.2907,1.0000
0.9143,2.4689,1.7118,5.8090,5.3088,697.1417,705.2219,433.1885,277.8691,259.0153,1.0000
1.0952,1.7270,1.6098,1.7825,0.7736,1227.2926,777.0459,411.1924,451.1445,478.5274,1.0000
1.0697,1.4529,10.6840,1.5044,1.2713,183.6001,411.1924,403.1122,642.3759,519.3773,1.0000
0.8454,1.7515,2.0876,1.3537,1.5917,264.8510,445.3088,470.4472,780.6371,610.0551,1.0000
0.8913,1.4192,1.7303,4.8995,4.9615,619.0331,209.1874,327.6970,290.4383,237.0192,1.0000
0.8081,1.2687,4.5688,2.6126,1.9865,647.7627,455.6335,204.6984,415.6814,419.7215,1.0000
0.8025,3.5828,7.0964,1.9600,1.0894,1070.1776,368.9958,287.2960,366.3024,369.4447,1.0000
0.7795,5.1559,1.8165,1.3370,4.2241,611.8507,758.1921,652.7006,259.4642,951.2191,1.0000
0.6148,1.6235,2.1745,4.1918,0.9857,632.5001,615.4419,261.2598,189.4358,555.7382,1.0000
1.0485,1.2675,1.1409,1.0277,1.8882,177.7644,1135.7170,601.5260,679.1857,384.2584,1.0000
1.0347,2.7633,0.7828,1.4270,4.6286,242.8549,1017.6563,823.7315,309.2921,1012.7184,1.0000
1.0947,1.5208,1.1386,1.6441,6.3555,1117.7610,191.6803,294.4784,529.7020,488.8521,1.0000
1.1067,3.0492,1.6471,8.4072,2.3563,185.3957,332.6349,526.1108,426.4550,460.1225,1.0000
0.9240,1.1156,1.0303,2.6518,3.4477,332.6349,484.3631,728.5647,275.1757,496.0345,1.0000
1.0013,1.1421,8.3508,1.5105,0.8396,189.8847,1024.3898,652.2517,511.7460,592.9969,1.0000
0.9613,4.0166,5.9275,3.6853,1.1507,697.1417,674.6967,524.7641,182.7023,286.8471,1.0000
0.9360,4.0996,1.4589,1.2725,1.1279,189.8847,664.3720,276.5224,486.6076,512.1949,1.0000
0.6873,1.3745,6.5527,1.5894,1.1615,835.8518,299.8652,768.5168,857.3990,639.2336,1.0000
0.8935,2.0656,3.6023,3.7702,1.1220,269.7889,191.6803,448.0022,591.6502,603.3216,1.0000
0.8231,1.7984,2.0815,6.8795,1.9887,546.7602,600.6282,455.1846,562.0228,486.1587,1.0000
0.8236,1.1750,5.4516,5.2345,1.1068,725.4224,1004.6382,237.9170,814.7535,686.8170,1.0000
0.9107,3.4580,3.0937,2.5189,1.1683,244.6505,230.7346,1187.7894,220.4099,355.0799,1.0000
0.7726,2.3765,4.3767,0.8524,5.9473,705.2219,590.3035,1111.9253,812.5090,708.3642,1.0000
0.7603,1.7878,0.6582,0.8427,0.8892,608.7084,426.9039,158.9106,1279.8139,517.5817,1.0000
0.7451,2.2075,1.1187,3.0034,1.0528,702.5285,345.2041,507.7059,693.9994,881.6396,1.0000
0.7755,2.1750,3.4268,0.8804,2.7599,481.2208,585.3656,484.8120,687.7148,1080.0534,1.0000
2.5489,5.4585,2.8279,1.2321,0.9729,208.2896,450.2467,357.3244,801.7354,667.5143,1.0000
0.6871,4.4506,3.8941,0.8491,0.8438,792.7574,285.0515,355.0799,400.8677,491.5455,1.0000
0.7644,2.0339,4.9369,1.1847,5.5296,1183.7493,486.6076,412.0902,705.2219,1155.0197,1.0000
0.8660,2.0046,5.3314,1.0394,1.0863,343.4085,465.9582,242.4060,215.4720,1476.4321,1.0000
0.9046,2.6793,5.6072,2.7629,6.0410,832.7095,600.1793,249.1395,779.7393,635.1935,1.0000
0.9320,1.6278,1.5633,0.8129,10.2491,460.5714,474.4873,773.0058,653.1495,642.8248,1.0000
0.8785,2.2596,5.6267,0.7470,1.0913,396.3787,521.1729,151.2793,508.6037,249.1395,1.0000
0.7785,4.0907,3.1473,2.4931,1.6967,734.8493,354.6310,216.8187,944.0367,323.2080,1.0000
0.6710,3.1630,1.5469,0.9003,0.8453,346.9997,696.6928,516.2350,727.2180,648.6605,1.0000
0.8251,2.2448,12.2672,1.1525,2.8225,698.4884,318.2701,568.7563,1144.6950,298.9674,1.0000
0.8060,2.8132,1.7382,0.8087,7.8223,860.9902,551.2492,484.3631,175.9688,1002.8426,1.0000
0.8825,3.7825,2.0980,1.0435,3.9240,967.3795,155.7683,391.4408,433.6374,625.7666,1.0000
0.6722,1.4524,1.4792,2.0309,4.3228,720.4845,246.8950,408.0501,313.3322,672.0033,1.0000
0.8056,1.1416,1.9797,2.3324,1.9223,250.9351,614.0952,198.8627,1118.2099,852.4611,1.0000
0.8184,1.0601,2.7298,0.6913,1.0229,793.2063,781.9838,220.8588,527.9064,666.6165,1.0000
0.7968,1.0295,1.0396,0.7092,9.3478,849.7677,839.4430,1085.8891,614.5441,885.6797,1.0000
0.7354,0.9012,1.4911,0.7187,4.4851,458.7758,673.3500,573.2453,650.9050,766.2723,1.0000
0.6497,1.1279,1.1490,4.0679,0.6894,673.7989,298.5185,331.2882,427.3528,578.6321,1.0000
0.9287,4.7564,1.9401,0.9482,0.8400,759.5388,787.8195,530.5998,622.6243,670.6566,1.0000
0.7161,1.5645,2.1947,0.6691,0.9156,406.7034,678.7368,401.3166,513.9905,845.2787,1.0000
0.9134,1.9106,1.1982,2.2983,1.1239,307.9454,247.3439,641.4781,631.6023,804.8777,1.0000
0.7235,1.0205,4.7441,3.9778,1.3633,457.8780,638.7847,550.3514,205.5962,246.4461,1.0000
0.6664,0.9521,1.1825,4.3082,3.5178,574.5920,630.7045,614.9930,1486.3079,1069.2798,1.0000
0.6838,4.0170,1.1043,1.4872,1.1536,371.2403,1112.8231,586.7123,343.4085,263.0554,1.0000
0.9779,3.6964,1.2116,3.3291,1.6419,680.9813,381.1161,228.9390,791.8596,443.5132,1.0000
0.8162,0.8021,1.9764,1.6020,5.6666,390.5430,152.1771,226.2456,393.6853,584.4678,1.0000
0.8209,1.1632,6.4256,0.8684,1.4128,565.6140,194.8226,465.0604,478.0785,429.5973,1.0000
1.2102,1.9760,1.0739,0.9533,1.3101,303.0075,210.5341,764.9256,419.2726,245.9972,1.0000
