"no stimulus","10 min","15 min","30 min","1h","no stimulus","10 min","15 min","30 min","1h",
1.3855,0.8494,1.0809,0.7966,0.5237,246.8950,755.4987,593.8947,740.2361,1173.4246,2.0000
1.1166,2.0636,1.5204,1.0032,0.4524,518.4795,221.7566,677.3901,846.1765,1429.7465,2.0000
1.4439,0.8555,1.3698,0.9550,0.3794,575.4898,762.2322,728.5647,1120.0055,1060.7507,2.0000
1.4691,0.8730,1.5672,2.8716,0.5833,490.1988,728.1158,580.4277,1234.0261,1433.3377,2.0000
1.1612,3.4399,1.7248,0.8623,3.1519,714.6488,708.3642,642.3759,957.0548,425.5572,2.0000
1.8814,3.3224,1.4310,0.9743,2.9397,254.9752,700.2840,364.9557,786.9217,785.5750,2.0000
1.1967,0.8093,1.5385,0.8568,3.2844,358.2222,808.0200,501.8702,409.8457,250.4862,2.0000
1.4028,0.7897,3.1954,1.0507,0.4621,765.3745,990.7223,550.8003,1150.9796,1177.9136,2.0000
0.9061,4.2472,1.6312,1.2843,0.4991,960.1971,380.6672,727.2180,995.2113,1401.4658,2.0000
1.5936,0.9030,10.4059,3.4014,0.5134,198.4138,603.7705,501.8702,741.1339,1104.7429,2.0000
0.9830,0.6994,4.3316,0.8601,0.4274,850.2166,982.1932,545.8624,708.3642,691.7549,2.0000
0.8694,1.4272,2.0118,3.6277,0.5814,821.4870,244.2016,535.0888,791.8596,739.7872,2.0000
1.9528,0.7708,1.5081,2.5053,2.9976,158.4617,732.1559,478.0785,223.5522,858.7457,2.0000
1.1618,0.8065,8.2500,2.6531,0.6983,430.4951,1175.2202,363.1601,866.3770,1149.6329,2.0000
1.0783,0.7916,1.6374,2.7875,0.5780,871.3149,463.2648,722.2801,1130.7791,708.8131,2.0000
0.9181,0.5743,1.4868,0.9182,0.5815,908.1247,735.7471,368.5469,967.8284,920.2450,2.0000
0.6052,0.7021,1.7572,1.1014,0.8141,313.3322,336.2261,577.2854,878.0484,560.6761,2.0000
0.9854,3.8173,1.8444,4.2517,0.5481,622.1754,810.2645,296.2740,1109.6808,1158.6109,2.0000
0.6357,1.0140,1.7641,2.9078,2.4839,153.5238,726.7691,527.0086,1152.3263,1284.7518,2.0000
0.8784,0.8101,13.5130,2.3950,0.4409,1171.6290,341.1640,804.8777,1054.0172,1226.3948,2.0000
1.1316,0.8627,11.7489,5.4113,0.4800,739.3383,879.8440,651.3539,1348.4956,1179.2603,2.0000
0.7274,3.4681,1.6695,1.1912,0.5327,621.2776,975.0108,527.4575,1260.5112,1084.0935,2.0000
0.7794,0.8105,3.2099,0.8749,0.5702,411.6413,208.7385,729.9114,1422.5641,1253.3288,2.0000
0.7555,0.8963,1.4665,1.9997,1.8052,1072.4221,1105.1918,456.9802,689.0615,208.2896,2.0000
0.8815,0.8210,1.5119,0.8363,0.5509,1030.2255,1331.8863,529.7020,1070.1776,1222.3547,2.0000
0.8782,2.8715,1.9629,4.5337,0.6801,920.6939,627.1133,550.3514,1313.9303,1091.7248,2.0000
0.8032,3.6141,1.8109,0.9096,0.5770,876.2528,909.0225,240.1615,893.3110,1229.5371,2.0000
0.5875,0.6662,1.4021,2.3944,0.4342,645.9671,289.9894,461.9181,1182.8515,1099.8050,2.0000
1.0489,0.9285,1.5289,0.6013,3.5671,812.9579,855.6034,470.8961,1225.0481,1000.5981,2.0000
1.0766,1.0422,1.3561,1.4651,0.5444,812.9579,215.4720,473.5895,1039.6524,1337.2731,2.0000
1.0271,0.8619,1.4864,0.6069,0.5450,825.0782,794.5530,545.8624,616.3397,1020.7986,2.0000
0.8680,0.9482,4.5928,2.0880,0.4157,1001.4959,1000.5981,234.7747,1203.0520,785.5750,2.0000
1.1454,0.6327,4.7356,0.8047,0.7759,460.5714,1209.3366,541.3734,996.5580,1117.7610,2.0000
1.0614,0.7019,1.4229,1.1403,0.5205,457.8780,621.7265,549.4536,1002.3937,1031.5722,2.0000
0.7295,0.8836,1.7902,1.5028,0.5695,848.8699,269.7889,716.8933,159.3595,995.6602,2.0000
0.7292,0.8595,1.6428,1.1102,0.9470,187.6402,715.9955,626.2155,1032.0211,559.3294,2.0000
1.2371,4.3027,1.3906,2.0549,0.6549,574.5920,322.7591,493.3411,519.8262,423.3127,2.0000
1.1955,5.4946,5.2221,1.0196,4.5361,527.9064,285.0515,687.7148,1374.0829,838.5452,2.0000
1.0242,2.1035,4.6730,0.7183,0.6920,882.0885,863.6836,812.5090,713.7510,922.9384,2.0000
1.1475,0.9249,1.5138,1.1743,4.0973,568.7563,790.5129,695.3461,808.0200,1069.2798,2.0000
1.6086,0.9251,1.4516,1.4634,0.5511,597.9348,820.1403,693.5505,724.9735,789.6151,2.0000
1.1500,0.9723,1.6679,0.8116,0.6246,671.1055,698.4884,644.1715,177.7644,949.8724,2.0000
1.3403,0.7946,1.1937,0.8652,3.1602,560.2272,634.7446,701.1818,1090.8270,992.0690,2.0000
0.9646,3.5653,2.6105,4.9908,0.6284,719.5867,303.9053,735.2982,1004.1893,1142.8994,2.0000
1.4119,3.1854,1.3662,5.6645,4.7881,218.1654,713.7510,699.3862,829.5672,1006.4338,2.0000
1.0635,1.8478,4.1781,0.8987,1.8253,638.7847,259.9131,616.3397,1107.8852,536.8844,2.0000
1.2394,1.3240,1.7145,0.9012,0.8304,752.3564,651.8028,748.7652,907.6758,1076.4622,2.0000
1.1259,1.1319,1.3072,0.9225,2.1310,836.7496,379.3205,501.8702,838.5452,1056.2617,2.0000
1.0859,3.4460,1.6245,2.6526,0.7257,360.0178,290.4383,549.9025,1317.0726,920.2450,2.0000
1.0058,4.3782,1.3421,2.5583,0.6551,624.8688,452.9401,676.9412,657.6385,958.8504,2.0000
1.1567,1.5495,4.0268,2.8770,3.4398,701.1818,758.1921,153.0749,1134.3703,1016.7585,2.0000
0.9386,5.3573,1.5920,1.5017,0.5920,820.1403,340.7151,510.8482,834.5051,944.4856,2.0000
1.7495,1.2407,0.9374,2.1257,2.9230,310.1899,839.4430,923.3873,630.7045,883.4352,2.0000
1.1532,2.2877,1.6511,4.4228,0.5736,403.1122,319.1679,938.6499,597.0370,182.7023,2.0000
0.7390,4.4455,1.1270,1.1572,1.7495,753.7031,333.9816,268.8911,1022.1453,1170.7312,2.0000
0.7617,5.6001,1.2652,2.9709,0.4747,1322.9083,553.4937,890.6176,523.8663,1375.8785,2.0000
0.7886,4.5013,1.0224,0.9355,1.9200,816.9980,610.0551,768.0679,960.6460,1084.9913,2.0000
0.7134,1.1849,1.3087,3.0615,0.4828,835.4029,393.6853,663.0253,1132.1258,345.2041,2.0000
0.6305,6.7720,1.0973,1.6727,2.1563,993.4157,633.3979,755.0498,452.0423,624.8688,2.0000
0.7466,1.2203,1.2054,1.0675,0.5690,703.4263,750.5608,902.2890,1104.7429,1049.5282,2.0000
0.7604,4.1196,4.7291,0.9773,0.5460,182.2534,450.2467,762.6811,995.6602,844.3809,2.0000
0.6702,1.2029,1.0555,0.8073,0.6153,1025.7365,602.4238,609.1573,990.7223,1177.0158,2.0000
0.7829,1.2439,3.1110,3.6198,2.8557,993.4157,924.2851,628.9089,1018.1052,291.3361,2.0000
0.9079,2.0642,1.0368,0.8423,0.6165,1287.8941,482.5675,540.0267,945.3834,830.4650,2.0000
0.7994,9.7369,1.7114,4.9343,3.4569,1020.7986,422.8638,1252.4310,937.3032,391.4408,2.0000
0.6915,1.4320,3.1197,0.8821,0.6139,746.5207,545.4135,1247.9420,968.2773,161.6040,2.0000
0.8396,1.1496,1.2733,2.5094,3.5034,706.1197,680.0835,478.0785,675.1456,1067.9331,2.0000
0.6621,4.3728,2.4807,1.5628,0.7246,957.9526,307.0476,406.7034,838.0963,368.9958,2.0000
0.7818,1.3238,4.5540,3.4897,0.6861,1088.1336,602.4238,454.2868,889.7198,1465.6585,2.0000
1.6087,0.8075,1.1503,3.1807,0.6434,1095.3160,632.9490,521.6218,715.9955,1132.5747,2.0000
0.6547,2.4346,1.9251,1.7636,0.5756,355.9777,221.3077,610.9529,735.7471,1036.9590,2.0000
0.3054,5.6037,1.4095,1.2714,0.6656,448.4511,565.6140,455.6335,575.0409,646.8649,2.0000
0.9730,1.4163,1.4257,1.1279,0.5696,408.0501,795.8997,690.8571,680.9813,1262.3068,2.0000
0.9324,1.4937,4.6740,1.0458,0.5536,297.6207,637.4380,727.6669,702.9774,1031.1233,2.0000
0.7677,1.0370,1.4506,5.7939,0.5607,891.9643,684.5725,208.7385,634.7446,1104.7429,2.0000
0.8045,6.1972,1.8645,3.2955,2.1499,798.1442,654.0473,1040.9991,509.0526,781.5349,2.0000
0.8582,7.2761,1.5620,4.7654,3.2277,712.8532,1092.1737,524.3152,722.2801,258.5664,2.0000
0.8505,4.4496,1.8684,1.2988,1.4949,775.6992,835.4029,487.9543,788.2684,631.1534,2.0000
1.2958,1.5402,1.2460,6.6542,3.8555,423.7616,657.1896,642.3759,525.6619,755.9476,2.0000
0.7662,1.1777,1.1099,0.9868,2.9983,935.5076,378.4227,572.3475,650.0072,1321.1127,2.0000
0.6613,4.0130,4.2695,1.0910,0.5545,974.5619,578.6321,389.1963,777.4948,1067.9331,2.0000
0.9228,5.9384,4.2448,4.9340,0.8178,773.0058,901.8401,374.3826,623.9710,1098.0094,2.0000
1.1960,6.1187,1.0780,1.5811,0.7987,890.6176,607.8106,217.2676,645.5182,870.4171,2.0000
0.9529,0.8080,3.8330,2.6881,0.6131,774.8014,690.4082,658.9852,360.0178,749.2141,2.0000
0.8332,1.2625,8.3505,2.3704,0.7768,752.8053,790.5129,277.4202,698.9373,686.8170,2.0000
0.8230,1.1374,1.5844,6.5468,3.3379,773.9036,894.2088,173.7243,730.8092,1258.2667,2.0000
0.9535,1.7675,0.9413,1.5932,2.6302,753.2542,1403.2614,504.1147,602.4238,171.0309,2.0000
1.1041,1.0530,1.0533,3.9028,0.6969,564.2673,909.0225,606.9128,603.7705,911.2670,2.0000
0.8463,3.7716,1.1751,1.4399,1.0390,654.4962,1097.1116,490.1988,835.4029,559.3294,2.0000
0.7695,3.4721,2.2303,4.8355,0.6347,586.7123,758.1921,518.0306,1167.5889,662.1275,2.0000
1.5175,1.1488,1.0550,1.2688,1.9895,768.5168,948.0768,954.3614,406.7034,1125.3923,2.0000
0.9320,0.9459,3.3588,1.0391,4.2996,689.0615,602.4238,765.3745,875.3550,675.1456,2.0000
0.6960,0.8420,1.1026,2.9191,0.6646,556.1871,903.6357,417.9259,1157.7131,453.3890,2.0000
0.8616,0.9514,1.4320,2.2603,0.6204,865.9281,1000.1492,488.4032,1235.8217,876.2528,2.0000
0.6969,0.6915,2.7897,0.8827,2.7282,601.9749,521.6218,627.1133,1286.0985,812.0601,2.0000
1.1507,2.3564,1.3868,2.7558,3.7316,564.2673,473.1406,511.7460,855.1545,888.8220,2.0000
0.9385,1.4223,1.1443,1.1045,0.5976,415.2325,285.0515,322.7591,1173.4246,960.6460,2.0000
0.6940,2.4993,2.1402,1.0699,1.1329,1071.0754,1310.7880,414.7836,157.1150,962.4416,2.0000
0.6419,2.9672,1.6283,2.7331,0.5321,403.5611,234.3258,541.8223,658.9852,855.6034,2.0000
0.6197,3.0413,1.5914,4.4338,2.3488,584.4678,1208.4388,663.4742,388.7474,917.5516,2.0000
0.6771,1.1378,1.2035,0.7675,1.5749,873.1105,766.7212,929.6719,1055.3639,841.2386,2.0000
1.1396,4.8445,1.9487,2.5742,1.7270,672.0033,637.4380,654.9451,460.1225,367.6491,2.0000
0.6429,2.0928,1.7800,1.0330,4.6173,283.2559,265.7488,540.4756,790.5129,1115.5165,2.0000
0.7263,1.6675,2.7384,1.0678,0.6449,172.3776,409.8457,648.2116,909.0225,926.9785,2.0000
0.6907,0.9823,7.9398,0.9049,0.6578,1229.9860,761.3344,718.2400,848.4210,943.5878,2.0000
0.6879,0.9457,8.4918,3.8840,2.5504,970.0729,534.1910,286.3982,1225.0481,951.6680,2.0000
0.7407,3.0341,13.5929,3.2467,0.8314,687.7148,1182.8515,518.4795,636.9891,720.9334,2.0000
0.6860,1.4613,2.0288,1.8302,0.7734,1005.5360,447.1044,325.0036,455.1846,722.7290,2.0000
0.7543,1.3961,2.6318,4.2008,1.1277,851.5633,346.5508,229.8368,446.6555,332.1860,2.0000
0.8356,1.1541,2.8372,0.7058,0.6979,372.1381,526.1108,338.9195,1151.8774,891.9643,2.0000
0.6806,4.7642,0.7191,0.9421,2.8353,1226.8437,397.2765,175.5199,1119.1077,1210.2344,2.0000
0.8361,5.2319,0.9928,3.2500,4.4570,1049.5282,804.8777,1200.3586,1091.7248,560.6761,2.0000
0.6743,0.9509,0.4360,3.3249,0.6233,935.0587,487.9543,180.9067,1159.0598,495.1367,2.0000
0.9702,4.8493,1.4250,0.9884,0.7726,1003.7404,698.9373,423.3127,446.2066,513.9905,2.0000
0.8669,6.5238,1.8061,4.9316,0.9929,167.4397,282.8070,543.6179,1241.6574,483.4653,2.0000
0.4750,1.3526,1.5246,1.9908,0.8447,894.2088,619.4820,497.8301,1252.4310,883.4352,2.0000
0.6803,2.8311,6.8312,5.0941,0.6481,339.3684,630.7045,514.4394,1449.0492,735.2982,2.0000
0.9019,1.5186,4.0073,0.8737,2.8485,452.4912,503.6658,409.8457,1356.5758,1013.1673,2.0000
0.8271,0.8395,1.4051,3.8997,0.5956,492.8922,1379.0208,224.0011,321.4124,338.0217,2.0000
0.7109,5.5578,1.2648,0.6889,0.5961,1012.7184,1291.4853,360.4667,921.1428,685.9192,2.0000
0.6015,1.3655,3.6774,4.2845,0.9930,311.9855,554.3915,461.4692,328.5948,341.6129,2.0000
0.5487,1.1757,10.6334,0.6637,2.7720,382.9117,897.8000,296.2740,639.2336,727.6669,2.0000
0.9005,1.0780,2.2914,2.3618,0.4847,307.0476,315.1278,495.1367,483.4653,835.8518,2.0000
1.0514,1.6379,4.6059,1.0119,0.6287,638.7847,664.3720,373.4848,526.5597,959.7482,2.0000
1.1464,0.7982,5.1317,1.1081,0.8239,720.0356,512.6438,171.4798,1001.9448,571.0008,2.0000
0.7611,3.7422,1.5436,1.0165,0.6708,1073.3199,809.3667,811.1623,1103.8451,1027.5321,2.0000
0.8494,1.3997,1.5082,0.8948,0.6592,206.4940,534.1910,497.8301,1162.6510,1413.5861,2.0000
0.9269,5.3290,1.9884,1.1243,1.4585,332.6349,662.5764,414.7836,916.6538,832.2606,2.0000
0.7328,1.4630,6.5420,2.6212,1.6329,962.4416,389.1963,166.0930,468.6516,1088.1336,2.0000
1.0320,1.2070,1.6389,5.3396,0.7626,272.9312,701.6307,620.8287,230.2857,947.1790,2.0000
0.6343,0.6950,1.2960,2.4651,0.7376,639.6825,480.3230,300.7630,370.3425,960.6460,2.0000
0.6704,5.7713,1.6403,2.0467,0.6511,459.2247,1411.3416,299.8652,713.7510,930.5697,2.0000
0.6218,1.9855,6.4324,4.6656,1.8537,371.2403,1487.6546,519.3773,508.1548,868.1726,2.0000
0.8111,1.0547,1.8119,1.5796,0.6213,935.0587,311.5366,441.2687,539.1289,1226.8437,2.0000
0.8696,2.4900,1.8174,1.5088,0.6617,1389.7944,468.2027,526.1108,403.1122,925.1829,2.0000
0.6010,7.5807,1.6233,1.0187,0.8815,710.6087,258.1175,557.9827,678.2879,1035.1634,2.0000
0.8043,4.8640,1.3302,1.1644,2.4912,1143.3483,518.9284,590.3035,536.4355,449.7978,2.0000
0.5409,1.8802,1.5631,6.5625,0.9648,338.0217,601.5260,483.9142,934.1609,729.9114,2.0000
0.4959,2.9773,1.4726,3.0757,1.5216,214.5742,471.7939,626.6644,514.4394,338.0217,2.0000
0.7545,1.7681,1.3168,4.2215,2.4533,253.1796,317.8212,389.6452,274.2779,298.0696,2.0000
1.2610,3.3313,1.4413,1.5525,1.2250,643.7226,206.0451,631.6023,641.0292,311.9855,2.0000
0.7671,10.1761,1.6087,1.1756,6.4870,618.5842,915.7560,654.4962,714.6488,618.1353,2.0000
0.3565,1.2250,1.8545,1.2068,0.9444,162.5018,535.0888,617.2375,689.0615,728.1158,2.0000
0.3978,5.2330,1.0843,1.4430,2.5600,311.0877,276.9713,222.2055,666.1676,720.9334,2.0000
0.8532,2.8594,1.7762,2.4126,0.7384,830.9139,474.0384,482.5675,662.5764,569.2052,2.0000
0.7769,1.0388,1.3555,7.1401,1.0387,986.6822,672.0033,442.6154,545.4135,706.5686,2.0000
1.0114,1.3317,1.7798,3.9640,0.9479,1135.2681,579.5299,702.0796,454.7357,723.6268,2.0000
0.7076,1.4446,2.5377,6.4111,1.1944,1013.6162,588.0590,386.0540,808.4689,298.9674,2.0000
0.8596,2.8929,1.2340,6.7510,11.3386,1220.1102,598.3837,402.2144,638.7847,171.0309,2.0000
0.7945,0.9738,8.9879,1.3263,0.8590,509.0526,764.4767,274.2779,622.6243,777.4948,2.0000
0.6625,4.8186,1.9120,3.0018,2.3241,193.0270,407.1523,509.9504,650.9050,586.2634,2.0000
0.3538,3.7441,1.6736,1.2077,0.6739,204.6984,323.6569,689.5104,427.3528,591.6502,2.0000
0.6451,1.4705,1.3573,1.6215,0.7152,822.3848,548.1069,396.8276,787.3706,772.1080,2.0000
0.6644,1.1705,1.9500,3.1694,3.8843,389.6452,639.6825,448.9000,486.6076,1291.9342,2.0000
1.0193,2.2299,1.9021,1.4136,0.8918,464.6115,412.0902,175.9688,475.8340,1196.3185,2.0000
0.6570,5.5113,1.0480,6.3710,0.9453,163.8485,390.0941,637.4380,650.0072,659.4341,2.0000
0.8303,3.2457,1.3257,6.0641,3.5380,740.2361,788.2684,677.8390,503.6658,799.0420,2.0000
0.7054,1.2078,1.8018,1.0991,3.2880,552.1470,768.9657,202.9028,398.1743,873.5594,2.0000
1.8418,1.2515,1.3292,1.2926,0.9484,555.2893,571.0008,513.5416,728.5647,1047.2837,2.0000
1.4754,1.4200,1.4459,0.8805,4.9179,350.5909,334.8794,438.5753,852.4611,1412.6883,2.0000
0.4834,1.2407,4.5177,1.2764,0.9326,553.0448,795.4508,192.1292,812.9579,1075.1155,2.0000
0.4826,0.7998,1.7088,2.9330,2.3957,657.1896,527.9064,634.7446,420.1704,696.2439,2.0000
0.3779,1.5581,1.8466,1.0078,3.9992,173.7243,399.5210,245.0994,937.7521,1256.4711,2.0000
0.6430,1.9012,1.4565,0.7310,0.7828,508.6037,285.9493,830.9139,1030.2255,820.5892,2.0000
0.6337,1.1617,1.1988,2.8779,0.9361,1010.0250,340.7151,750.5608,568.3074,314.6789,2.0000
0.5916,1.4508,2.4363,0.7745,0.7879,386.5029,307.0476,582.2233,636.5402,1101.1517,2.0000
0.4972,1.2006,0.9279,0.9646,5.7513,153.5238,624.4199,199.7605,836.7496,343.8574,2.0000
0.8705,1.2941,7.5491,1.1752,0.7487,612.2996,373.0359,528.8042,1023.4920,245.5483,2.0000
0.6295,1.1853,8.4376,0.8966,0.8107,1136.6148,645.9671,511.2971,276.5224,757.2943,2.0000
0.7913,1.9881,9.6118,0.9499,0.7756,1259.1645,153.0749,693.1016,746.0718,720.0356,2.0000
0.9016,1.2068,8.0424,0.9990,2.9928,821.4870,637.8869,689.9593,762.6811,755.4987,2.0000
0.7488,2.1182,5.2802,0.9053,0.8740,720.4845,588.9568,647.7627,952.5658,659.8830,2.0000
0.4441,1.4734,2.0919,4.5942,0.8036,391.4408,780.1882,315.5767,488.4032,935.0587,2.0000
0.4980,0.9619,2.1848,1.1186,0.8703,692.2038,361.8134,555.7382,434.5352,741.5828,2.0000
0.3928,1.1223,1.9095,0.8457,2.7048,286.8471,654.0473,244.6505,871.3149,860.5413,2.0000
0.5535,6.8174,1.3251,4.0490,3.1028,1069.7287,710.6087,686.3681,617.6864,593.4458,2.0000
0.5582,1.9598,1.1209,0.9246,0.7625,1040.5502,283.2559,577.7343,1049.5282,661.6786,2.0000
0.4954,1.2625,1.1385,3.6133,1.0327,232.0813,313.3322,596.1392,916.2049,805.7755,2.0000
0.6201,3.7900,5.4120,0.8618,2.2483,1264.5513,188.9869,161.6040,941.7922,162.0529,2.0000
0.5750,6.3383,3.4885,1.5190,0.6689,1013.6162,390.9919,593.8947,333.9816,733.5026,2.0000
0.5535,2.5493,1.1632,1.3829,2.0308,1025.2876,482.1186,380.2183,1096.6627,440.3709,2.0000
0.8682,1.6052,1.0385,3.4696,0.8096,699.8351,454.2868,552.1470,569.2052,1077.3600,2.0000
0.7145,0.9896,5.9986,3.0318,0.9871,1021.2475,470.4472,476.7318,1095.7649,874.4572,2.0000
0.5553,4.4246,1.5252,4.1997,0.7734,1222.8036,302.5586,503.2169,887.0264,1107.4363,2.0000
0.7442,6.9640,1.5711,2.6855,2.8899,1209.3366,415.2325,262.6065,422.4149,430.9440,2.0000
0.7032,5.7805,1.9617,3.3111,0.8189,1064.7908,254.5263,604.6683,941.7922,1014.0651,2.0000
0.5213,6.2617,4.9085,1.8939,1.0986,689.9593,307.9454,665.2698,781.0860,583.1211,2.0000
0.7114,0.9593,2.0237,3.0552,1.0417,1385.3054,475.8340,424.6594,300.7630,215.4720,2.0000
0.4043,1.9263,1.8267,1.3659,0.6966,660.3319,251.3840,595.2414,714.6488,920.6939,2.0000
1.4186,2.0580,1.7149,1.0897,3.8845,723.6268,815.2024,330.3904,238.3659,819.6914,2.0000
1.3194,4.2875,2.2756,1.7551,4.7687,335.3283,285.0515,473.5895,476.7318,810.7134,2.0000
0.7587,2.4606,3.2588,1.0411,4.7731,644.6204,1286.9963,446.6555,863.6836,267.9933,2.0000
1.3231,2.4846,1.4410,2.5587,0.8090,193.0270,597.0370,454.2868,749.6630,813.4068,2.0000
0.4696,3.2111,4.1117,5.7067,0.7992,1064.7908,298.5185,499.1768,778.8415,781.9838,2.0000
2.2419,1.5511,3.7165,5.1916,0.7931,376.6271,865.9281,222.2055,954.8103,796.7975,2.0000
1.3169,2.1621,5.2355,4.6005,0.9734,326.3503,935.0587,520.7240,371.6892,742.4806,2.0000
1.3549,1.8852,1.7315,1.0363,1.0186,625.3177,244.2016,408.9479,471.3450,1169.8334,2.0000
0.9870,0.9789,1.2165,1.2872,3.6750,713.7510,846.1765,216.8187,636.0913,621.7265,2.0000
1.1293,2.9051,7.7936,1.8788,0.9495,667.5143,1172.0779,711.5065,211.8808,929.2230,2.0000
1.4524,5.7629,1.6576,1.1016,1.0199,244.2016,924.2851,355.0799,821.9359,777.4948,2.0000
0.9031,0.8370,1.7483,1.0896,0.8051,864.1325,715.0977,448.9000,536.4355,1124.4945,2.0000
0.6980,2.1468,2.1177,3.7932,0.6937,309.2921,387.8496,361.8134,544.9646,628.0111,2.0000
0.7069,4.4411,1.8798,4.6289,0.9172,274.7268,881.1907,571.4497,326.7992,443.5132,2.0000
0.7927,1.3920,2.2126,1.0629,2.1223,965.1350,916.2049,351.9376,889.2709,760.4366,2.0000
0.9949,0.7282,3.2832,0.3545,4.8031,675.1456,540.4756,153.5238,170.1331,1096.6627,2.0000
0.8350,2.2719,1.2424,1.2540,0.7777,707.4664,299.4163,294.4784,802.1843,1129.8813,2.0000
1.8994,1.3881,2.4510,1.1206,6.3863,371.6892,991.6201,496.0345,618.1353,734.4004,2.0000
0.4515,1.1666,9.6765,2.5631,4.3141,838.5452,360.4667,469.1005,307.9454,975.0108,2.0000
0.7858,4.4537,1.8487,0.7845,2.9109,879.8440,1015.8607,386.5029,647.3138,860.9902,2.0000
0.7254,1.1373,1.9520,1.0009,0.9552,1119.5566,992.0690,408.4990,854.7056,652.2517,2.0000
0.5485,0.9713,5.0724,1.2335,4.3772,1106.0896,830.4650,339.3684,260.3620,692.6527,2.0000
0.7536,1.2382,1.4857,2.3987,5.4424,1162.2021,624.4199,359.5689,572.3475,814.3046,2.0000
0.6922,1.4118,1.9495,1.1947,2.8796,1300.9122,867.2748,354.6310,357.7733,770.7613,2.0000
0.5801,5.0930,1.6678,5.3049,0.9731,1008.2294,1210.2344,663.9231,627.1133,639.6825,2.0000
0.8261,1.4945,2.1332,3.2692,1.0741,192.1292,983.5399,768.0679,385.1562,725.4224,2.0000
0.6419,0.8771,9.1519,6.2182,0.8737,1069.2798,796.3486,821.0381,304.8031,551.2492,2.0000
0.7052,1.1055,1.6834,1.0040,0.9634,551.6981,613.6463,308.8432,432.7396,586.7123,2.0000
1.0331,1.2246,1.1188,3.7177,0.9369,935.5076,532.8443,461.4692,311.0877,701.1818,2.0000
0.6361,0.8129,1.1533,3.5779,1.4441,1187.7894,910.8181,663.9231,631.6023,366.3024,2.0000
0.8206,3.4156,0.9710,1.2138,4.2949,711.9554,152.6260,209.1874,664.8209,965.5839,2.0000
0.7795,1.6025,2.5161,2.7595,0.9154,883.8841,976.8064,307.0476,608.7084,1008.6783,2.0000
0.9025,0.9590,1.2678,1.4894,1.0874,1123.1478,951.6680,578.1832,216.8187,461.0203,2.0000
0.6899,0.8047,1.3851,2.1425,0.7933,1067.0353,717.3422,717.3422,242.4060,647.7627,2.0000
0.8510,1.6752,1.2857,2.5883,1.0302,1226.3948,158.9106,605.1172,525.6619,884.3330,2.0000
0.5813,0.8683,1.8554,1.1921,2.0276,869.5193,736.6449,429.1484,472.6917,394.5831,2.0000
0.8908,0.9117,4.3035,4.2356,0.7043,417.4770,808.4689,582.2233,319.6168,931.0186,2.0000
0.8414,2.5548,6.1504,5.6244,2.3009,483.0164,610.5040,411.1924,383.3606,790.5129,2.0000
0.5820,0.6853,1.0793,1.2845,2.5689,420.6193,789.1662,580.4277,728.1158,217.2676,2.0000
0.6970,0.8274,3.3340,1.3964,0.4467,887.4753,575.0409,278.3180,816.9980,221.3077,2.0000
0.5785,0.6927,4.8657,2.5594,0.6942,441.7176,737.0938,519.3773,592.0991,836.3007,2.0000
0.7576,0.6070,1.7960,3.6832,0.8982,727.2180,404.0100,522.0707,273.3801,865.0303,2.0000
0.7755,1.2102,6.4513,2.7511,0.8908,917.1027,679.1857,335.7772,845.7276,964.6861,2.0000
1.2148,1.2218,1.4567,3.7158,5.5439,675.1456,763.1300,404.0100,430.9440,879.3951,2.0000
1.3276,0.6622,3.2262,0.9718,1.2152,575.0409,375.7293,808.9178,907.2269,874.0083,2.0000
1.3129,3.1951,1.2205,0.9664,1.4603,660.3319,869.9682,759.9877,571.4497,623.9710,2.0000
1.1340,1.0456,3.3272,3.7697,3.1595,502.3191,810.2645,615.8908,1156.8153,267.5444,2.0000
1.0585,0.8580,4.9464,1.4879,0.8196,724.9735,292.6828,958.4015,520.2751,909.0225,2.0000
0.4143,0.8077,0.8383,4.0929,1.3163,531.4976,584.9167,809.8156,844.8298,988.9267,2.0000
1.1680,1.1154,2.6569,2.2426,0.9232,272.9312,419.7215,339.3684,656.7407,939.9966,2.0000
1.1650,2.7911,1.9370,3.2232,0.7032,412.0902,407.1523,831.3628,827.7716,1159.5087,2.0000
0.6364,1.0117,1.0508,3.4400,1.0904,615.8908,192.1292,923.8362,1024.3898,968.2773,2.0000
0.8432,1.0460,1.1347,1.9056,0.9617,776.5970,959.2993,606.9128,464.6115,758.6410,2.0000
0.6715,1.0525,1.1740,2.8759,1.0809,791.4107,634.7446,836.7496,616.3397,184.4979,2.0000
0.6705,0.9233,1.2918,0.9734,0.9923,868.6215,418.3748,765.8234,182.7023,831.8117,2.0000
0.6406,1.6167,1.2037,4.0223,6.1277,943.1389,743.8273,716.8933,164.2974,265.2999,2.0000
0.6382,0.9583,1.3272,1.4267,1.8988,502.7680,1414.9328,704.3241,702.5285,372.5870,2.0000
0.6362,0.9436,0.8426,0.9197,1.3012,860.9902,597.9348,581.7744,762.2322,698.9373,2.0000
1.0005,1.2220,1.4612,2.6400,10.9848,1129.4324,885.2308,1417.1773,680.5324,421.0682,2.0000
0.7044,1.0029,1.1764,1.0116,0.9949,619.9309,751.0097,725.4224,483.4653,790.9618,2.0000
0.6761,0.9368,2.9068,1.0420,1.0191,1034.2656,1451.7426,773.0058,506.3592,927.8763,2.0000
