"no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF","no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF",
0.7266,1.2255,0.9076,0.9532,0.6423,1.0996,251.3840,180.9067,175.9688,808.9178,229.8368,745.6229,2.0000
0.6778,2.6602,0.8898,0.8194,0.6148,4.3775,197.0671,612.2996,319.6168,1117.3121,255.4241,373.0359,2.0000
0.9449,1.2488,1.0559,0.7516,0.7318,3.3554,557.0849,234.7747,588.9568,407.1523,174.1732,613.6463,2.0000
1.3245,1.5111,0.8539,0.5844,3.7037,8.3191,461.9181,360.0178,230.7346,174.6221,624.4199,934.6098,2.0000
1.7822,2.0245,0.9474,0.7793,0.8733,1.4078,727.2180,663.0253,636.5402,404.9078,164.7463,540.9245,2.0000
1.2635,3.2426,1.0884,0.6324,0.8059,4.7029,345.6530,207.3918,681.4302,171.4798,167.4397,1009.1272,2.0000
1.3159,1.6770,1.4779,0.5738,0.8124,2.1132,683.2258,492.8922,302.1097,155.3194,282.8070,562.4717,2.0000
1.1431,1.6857,1.4695,0.5511,1.0891,3.0068,900.9423,658.0874,271.5845,209.1874,660.3319,250.0373,2.0000
1.1221,1.1459,1.4314,2.6173,1.1372,2.9207,635.6424,161.6040,451.5934,460.5714,1160.4065,769.4146,2.0000
0.5466,1.5516,2.0112,5.4533,1.3349,1.2874,188.0891,427.8017,1096.6627,670.2077,691.3060,415.2325,2.0000
0.7705,1.3285,0.8668,1.1980,1.4629,1.1223,404.9078,393.2364,163.3996,715.9955,470.4472,449.7978,2.0000
1.2901,2.0674,1.4970,0.4862,3.8275,1.1544,665.2698,408.9479,422.8638,184.0490,875.8039,533.7421,2.0000
1.2252,0.9946,0.7366,0.6492,2.0986,5.8525,773.9036,439.4731,183.6001,225.3478,1449.0492,224.4500,2.0000
1.3452,0.9070,0.7424,0.5460,1.0237,1.3038,696.6928,806.6733,345.6530,677.3901,628.9089,527.4575,2.0000
1.0840,0.9640,0.8417,0.9947,1.1322,1.4378,168.3375,236.5703,346.1019,152.1771,446.6555,479.4252,2.0000
0.7755,0.9714,0.9989,4.2165,0.7386,1.2994,182.7023,289.9894,571.8986,702.9774,221.3077,225.3478,2.0000
0.8810,0.5725,0.8964,1.3303,0.9888,3.1602,809.8156,163.8485,755.0498,1043.2436,272.4823,613.6463,2.0000
1.4797,3.6050,0.5310,1.1452,0.8243,3.4848,318.2701,244.2016,295.8251,329.4926,195.7204,263.0554,2.0000
0.9510,0.7658,0.5373,2.2246,4.9250,1.5230,774.3525,241.5082,151.7282,351.4887,772.1080,568.3074,2.0000
0.7425,0.6616,0.5022,1.0575,0.9361,3.9625,821.4870,414.7836,184.0490,368.0980,439.9220,172.8265,2.0000
0.7450,0.7607,0.5944,1.1615,0.9604,1.8413,263.5043,588.5079,337.1239,615.4419,186.7424,420.6193,2.0000
0.6990,1.8404,0.4753,1.3776,0.7777,1.5589,180.0089,445.3088,158.4617,904.9824,935.5076,533.7421,2.0000
1.0032,1.3692,1.1839,2.5276,0.7384,4.8246,858.7457,399.5210,294.4784,698.0395,355.0799,613.1974,2.0000
1.0057,1.7650,1.1010,0.9991,1.3854,6.7969,944.9345,377.9738,945.3834,768.5168,465.9582,156.6661,2.0000
0.9181,1.1953,0.9639,1.9782,0.9260,1.3780,572.7964,528.3553,582.2233,426.0061,894.6577,426.9039,2.0000
0.7949,1.3207,1.1059,1.1233,0.7443,5.3195,296.2740,478.5274,809.3667,292.2339,388.7474,908.5736,2.0000
0.9151,1.0322,0.8562,0.6125,0.6896,7.7932,543.1690,502.3191,380.2183,214.1253,311.5366,271.1356,2.0000
0.9102,1.6618,0.8224,2.2030,1.2821,1.1162,734.4004,479.4252,1040.5502,426.4550,282.8070,265.2999,2.0000
1.3139,1.5920,0.6914,0.6408,0.4600,1.3730,348.3464,459.2247,398.6232,346.9997,268.8911,493.7900,2.0000
0.7939,3.8435,0.8715,0.4418,0.5130,1.4478,731.2581,538.2311,1238.5151,206.9429,1120.4544,662.5764,2.0000
0.5370,1.5218,0.6367,0.7738,0.7532,1.4798,1424.8086,1286.9963,247.7928,869.5193,248.6906,611.4018,2.0000
0.5985,1.2911,0.4874,3.6942,0.6400,9.0674,400.4188,483.0164,611.8507,1145.5928,808.0200,694.4483,2.0000
0.5263,1.3818,0.6342,1.2503,0.5942,5.0880,185.8446,250.4862,1147.3884,1052.6705,901.3912,276.5224,2.0000
0.6800,1.9878,0.9570,1.3788,7.3193,1.6848,255.4241,496.9323,849.3188,791.8596,676.9412,670.6566,2.0000
0.7374,1.6305,0.8688,1.2591,0.5602,1.1473,249.1395,671.5544,386.0540,967.8284,351.4887,669.3099,2.0000
0.5897,5.9965,0.3614,1.1317,2.9973,1.1706,350.5909,390.5430,152.1771,405.3567,1064.7908,361.3645,2.0000
0.5175,1.3086,0.6028,0.9574,10.8286,5.4521,191.2314,420.1704,256.3219,718.6889,426.9039,185.3957,2.0000
0.8649,0.5928,0.6224,0.7409,1.1038,1.0529,807.5711,177.3155,746.9696,161.1551,825.0782,509.9504,2.0000
0.9791,0.7892,0.8710,0.4625,1.0713,1.9139,1046.3859,164.2974,393.2364,211.4319,191.6803,176.4177,2.0000
1.1886,0.9862,0.5299,0.4165,0.4959,1.1293,360.0178,228.0412,288.1938,246.8950,317.3723,650.9050,2.0000
0.7047,1.0010,0.7372,0.8293,0.4934,2.4531,177.3155,250.9351,424.6594,274.2779,329.9415,346.9997,2.0000
0.5144,0.8693,0.7761,0.8468,0.5110,1.0901,486.6076,353.7332,1258.2667,166.0930,500.5235,391.8897,2.0000
0.5636,1.7919,1.0443,0.7999,0.3882,3.4133,309.2921,453.3890,538.6800,209.1874,202.0050,325.4525,2.0000
0.6233,0.9348,1.0532,2.3127,0.6122,1.4229,426.4550,609.6062,175.5199,346.9997,753.2542,501.4213,2.0000
0.7720,1.1038,1.0297,3.8245,0.8924,1.4719,246.8950,658.5363,420.1704,260.3620,702.9774,533.2932,2.0000
0.6369,3.2238,1.3983,1.2499,5.8478,0.9553,190.3336,1176.5669,711.0576,636.0913,202.0050,614.0952,2.0000
0.6917,1.1015,0.9400,0.8559,4.0539,5.0378,196.1693,441.7176,452.9401,320.9635,167.4397,614.5441,2.0000
0.5953,1.0524,1.0867,0.4370,0.4095,5.7139,296.7229,229.8368,916.6538,724.9735,186.2935,597.4859,2.0000
1.0534,1.3655,1.1086,0.4493,5.5340,1.0413,689.0615,822.8337,210.0852,200.6583,198.8627,474.0384,2.0000
1.1778,1.8426,0.8321,0.7228,5.1888,2.9997,580.8766,421.5171,869.5193,166.9908,733.0537,408.0501,2.0000
0.6375,1.3918,0.5543,1.3584,0.9438,1.6349,276.5224,1305.8501,232.0813,731.2581,487.0565,558.8805,2.0000
0.5590,4.1850,0.8508,1.7426,0.7456,1.1366,253.6285,625.3177,404.9078,470.8961,300.7630,462.3670,2.0000
0.6115,2.1150,1.2173,1.3572,0.5167,1.4182,166.0930,228.0412,388.2985,601.0771,159.3595,364.9557,2.0000
1.1262,1.3619,0.4820,4.7886,0.8545,1.3973,345.2041,660.7808,171.4798,555.7382,606.0150,674.6967,2.0000
1.1958,5.8072,0.5674,4.3017,0.6812,1.3075,546.7602,708.8131,187.1913,741.5828,351.0398,817.4469,2.0000
0.9941,1.1595,0.6160,1.3960,1.1822,0.7520,890.6176,502.7680,325.0036,444.4110,553.9426,434.0863,2.0000
0.6743,1.9015,1.0069,1.2196,0.5408,2.9173,659.4341,476.7318,1143.3483,632.0512,355.0799,641.0292,2.0000
0.6727,1.8614,1.2789,1.0129,0.8580,1.7449,472.2428,906.3291,1055.8128,707.9153,826.8738,690.8571,2.0000
1.1258,2.8916,1.5711,2.5747,0.6067,1.2952,407.1523,256.3219,185.8446,272.0334,303.4564,612.2996,2.0000
1.0778,1.6547,1.4745,1.3373,0.6871,1.1470,341.6129,497.8301,733.0537,858.7457,836.3007,191.2314,2.0000
0.8059,1.1429,1.8678,1.2268,0.5869,1.1006,1310.7880,636.5402,316.0256,537.7822,544.5157,510.3993,2.0000
0.5399,2.4987,1.3673,1.4457,0.9424,1.0984,399.0721,714.6488,789.1662,690.8571,911.2670,580.8766,2.0000
0.7692,1.4481,0.6128,0.8928,0.7251,1.1907,1002.8426,232.0813,613.1974,555.7382,602.4238,779.7393,2.0000
0.6767,0.9110,1.8714,1.5596,0.6193,2.4416,273.3801,175.9688,539.5778,374.3826,858.7457,730.8092,2.0000
0.6518,1.0527,1.6825,1.3336,1.5918,4.2647,458.7758,191.6803,448.4511,697.1417,1020.3497,737.9916,2.0000
0.5301,0.8383,1.2857,0.8295,3.1404,0.9642,399.9699,233.4280,1081.4001,953.0147,837.6474,677.8390,2.0000
0.5093,0.8470,1.0390,0.8162,2.8873,3.5577,402.6633,312.4344,312.8833,429.5973,541.3734,386.5029,2.0000
0.8378,0.7609,0.8165,0.7520,0.7645,2.0852,253.1796,200.2094,1201.2564,195.7204,1156.3664,655.3940,2.0000
0.5195,0.8999,1.8207,2.7851,0.7104,2.8308,289.5405,228.4901,227.5923,269.7889,170.1331,360.0178,2.0000
0.9340,1.7082,1.6022,0.6913,6.6408,2.2340,378.4227,1300.0144,324.1058,207.8407,655.8429,619.0331,2.0000
0.9804,1.4238,1.4659,2.3867,1.4342,1.1941,170.1331,317.3723,795.0019,624.4199,847.5232,777.9437,2.0000
1.5642,1.8612,2.0332,1.1679,5.4912,3.8526,297.6207,562.4717,555.2893,812.5090,309.2921,368.9958,2.0000
1.3197,0.8528,1.1746,1.2527,0.8179,1.4909,443.0643,151.2793,709.7109,898.2489,698.4884,527.4575,2.0000
1.2297,4.3617,1.7422,1.2354,1.8072,1.5245,517.1328,254.9752,230.2857,668.8610,476.7318,206.9429,2.0000
0.9031,1.1570,1.5046,6.8773,0.4593,1.1490,381.1161,476.7318,899.5956,626.6644,168.3375,332.6349,2.0000
0.9827,1.5180,1.8465,1.5669,1.4101,0.9728,806.6733,223.1033,988.4778,335.7772,812.9579,258.1175,2.0000
0.7826,1.6895,2.0718,1.0105,7.7912,1.2494,185.8446,546.7602,162.9507,649.5583,280.5625,154.4216,2.0000
1.4101,1.6472,0.9130,1.8652,0.6195,1.3015,285.0515,494.2389,612.2996,326.3503,590.7524,694.8972,2.0000
0.8576,1.2773,1.0857,1.2497,0.5629,1.5907,197.0671,530.5998,906.7780,784.6772,399.5210,236.1214,2.0000
0.9742,2.9971,1.6644,0.8131,0.7465,3.8923,268.4422,444.4110,1094.4182,654.4962,294.4784,210.0852,2.0000
1.0641,1.8863,1.0106,0.6361,7.7787,1.0011,255.4241,228.4901,577.2854,200.6583,641.9270,1054.4661,2.0000
1.4143,0.9857,0.7198,1.4073,0.7508,0.3493,346.9997,204.2495,224.4500,740.6850,1039.2035,1343.5577,2.0000
1.3503,0.8964,0.8384,1.4278,1.2017,1.7840,833.6073,386.9518,335.7772,614.9930,156.2172,1322.0105,2.0000
1.1148,1.2963,0.7753,1.6153,0.6592,0.5733,237.4681,531.0487,327.2481,445.3088,681.8791,177.3155,2.0000
1.1368,0.6957,0.8901,1.8303,1.3663,0.5092,706.5686,182.7023,331.7371,258.5664,722.2801,153.0749,2.0000
0.8184,1.3427,0.9107,0.9852,0.9427,0.3754,329.9415,294.9273,1036.9590,344.3063,500.9724,623.0732,2.0000
0.5666,1.7459,0.9333,1.4570,0.7444,0.6129,200.2094,618.1353,241.5082,828.2205,981.2954,565.6140,2.0000
0.7301,2.0739,1.2149,2.1301,3.5281,0.7138,524.7641,1087.2358,687.7148,277.4202,936.8543,624.8688,2.0000
0.5661,1.8098,1.4112,1.1905,0.6989,0.6367,186.2935,221.7566,768.0679,792.7574,651.3539,760.4366,2.0000
0.7036,1.6342,1.3109,1.3249,0.5986,0.6202,438.5753,218.1654,793.6552,610.5040,153.5238,624.8688,2.0000
0.5530,1.3314,1.3381,1.0828,1.7702,0.6094,223.5522,468.6516,1192.2784,597.0370,449.3489,509.0526,2.0000
0.5784,3.7961,1.1291,1.2446,0.5280,0.6726,180.4578,462.3670,567.8585,371.6892,656.7407,1134.8192,2.0000
0.9124,1.7692,0.7252,1.1148,0.7212,0.6941,1274.8760,498.2790,234.7747,988.4778,710.6087,491.0966,2.0000
0.6766,1.1900,1.2178,1.9749,1.0016,0.8245,181.3556,303.0075,633.3979,391.4408,273.8290,789.1662,2.0000
0.9988,0.4112,4.2952,1.0804,1.5884,0.5819,894.2088,452.9401,994.3135,517.5817,373.4848,1029.7766,2.0000
1.7279,0.3922,0.9711,1.3179,0.8048,0.6641,225.7967,202.0050,166.0930,178.6622,873.1105,504.1147,2.0000
1.2322,0.6882,1.6384,1.2625,0.4299,0.6493,490.6477,211.4319,237.0192,889.7198,176.8666,598.3837,2.0000
1.6543,1.1129,1.7435,0.8809,1.0998,0.9237,660.7808,358.2222,467.7538,164.2974,202.0050,905.4313,2.0000
1.0192,1.1867,1.2055,1.6529,0.5389,0.8728,193.9248,415.6814,396.8276,874.9061,409.3968,204.6984,2.0000
0.7868,0.8565,1.8678,0.7883,0.4771,1.3823,222.6544,337.1239,320.0657,417.0281,360.4667,1054.4661,2.0000
1.3940,1.6001,1.0921,0.8681,2.3871,1.8825,730.3603,216.8187,193.4759,217.7165,475.8340,367.2002,2.0000
1.3046,2.2981,0.7721,0.6321,0.6012,1.0917,585.3656,814.3046,878.9462,187.1913,753.2542,581.7744,2.0000
0.5667,5.9186,0.9562,0.7017,3.4352,3.2342,199.7605,550.3514,471.3450,162.5018,455.6335,926.9785,2.0000
0.6817,0.9592,3.0117,0.5817,4.1026,1.1925,525.6619,711.9554,529.2531,238.3659,401.3166,606.4639,2.0000
0.6838,1.5907,1.9617,0.4694,0.5885,1.2494,173.7243,1271.7337,970.5218,939.5477,843.9320,647.7627,2.0000
0.9538,1.1340,1.8258,0.5748,0.6172,0.7421,726.7691,292.6828,749.6630,518.0306,576.3876,246.8950,2.0000
0.7944,1.4148,1.1017,0.4331,0.5852,1.1485,298.0696,689.0615,901.8401,520.7240,954.8103,211.4319,2.0000
1.0304,1.9542,0.9344,0.5788,0.7157,2.5599,962.8905,851.5633,846.6254,161.6040,724.9735,818.3447,2.0000
0.7669,2.1048,0.7163,0.6404,0.7114,0.9954,518.9284,592.9969,614.9930,1318.8682,329.0437,209.1874,2.0000
0.9734,2.1843,1.5304,0.8952,4.6940,0.8723,687.2659,593.8947,254.5263,328.1459,539.1289,224.8989,2.0000
0.9255,1.6086,1.4448,0.9399,8.2075,1.4689,667.0654,626.2155,573.2453,574.5920,377.5249,297.1718,2.0000
1.0093,1.4256,1.0505,1.2321,3.1279,1.2829,252.7307,677.3901,745.1740,779.7393,890.6176,379.3205,2.0000
1.0245,2.2156,1.3411,0.6290,0.6525,6.8169,561.1250,644.6204,186.2935,770.7613,408.4990,764.9256,2.0000
0.7032,1.0570,1.2808,1.1322,11.1934,1.8434,177.7644,465.9582,168.3375,721.8312,943.1389,550.8003,2.0000
1.0302,1.7214,1.2319,0.9324,0.7688,0.7055,539.5778,705.2219,439.9220,262.6065,184.4979,212.7786,2.0000
0.9002,1.8379,1.3424,0.6382,0.9327,0.6349,394.1342,581.7744,549.9025,287.2960,740.6850,238.8148,2.0000
1.5903,1.9392,1.1689,0.8441,0.8963,0.8762,538.2311,844.3809,667.0654,355.5288,832.7095,172.3776,2.0000
1.6337,1.2582,0.9654,0.6808,1.0398,3.2870,560.6761,827.3227,565.6140,154.8705,911.2670,315.5767,2.0000
1.4854,1.4668,0.9742,2.7364,0.9910,0.9494,452.0423,355.5288,553.4937,551.2492,660.7808,688.1637,2.0000
1.7807,0.9777,1.3840,1.3716,0.7331,1.8747,687.2659,519.3773,681.4302,631.6023,246.4461,368.5469,2.0000
1.4635,0.9848,1.4648,1.0177,1.2252,0.7869,447.1044,530.1509,240.6104,468.2027,881.6396,868.1726,2.0000
1.3626,1.1506,1.3427,1.9572,5.4897,0.7244,246.4461,670.2077,418.3748,746.0718,329.0437,198.4138,2.0000
0.9266,2.0122,0.9746,0.9646,2.1841,0.9148,152.1771,387.8496,715.0977,306.1498,1014.9629,448.0022,2.0000
1.5313,1.1037,1.2752,0.9350,1.9103,0.7313,668.8610,609.1573,505.9103,561.1250,193.4759,709.2620,2.0000
1.3291,1.9661,1.0654,0.7098,2.1471,1.4544,546.7602,205.1473,737.0938,457.8780,243.7527,312.8833,2.0000
0.9955,4.3228,0.9582,0.8750,6.1513,3.0360,209.6363,343.8574,450.6956,193.0270,988.9267,359.1200,2.0000
0.8915,1.5656,0.7667,1.0423,0.6670,0.8480,377.9738,221.7566,474.4873,726.3202,1026.6343,154.4216,2.0000
0.9079,3.7594,0.7809,0.9939,0.5542,0.6692,306.5987,901.3912,450.6956,561.5739,428.6995,411.1924,2.0000
1.1227,2.4335,0.8792,1.5492,7.9325,0.6149,500.0746,867.7237,221.7566,441.7176,812.5090,249.5884,2.0000
0.9062,2.9628,0.6190,1.2525,0.9673,0.6014,196.6182,517.1328,471.3450,757.2943,868.1726,282.3581,2.0000
0.7942,3.0820,0.6103,0.7649,0.9333,0.9703,840.3408,361.8134,298.0696,223.5522,862.3369,701.1818,2.0000
0.6879,3.2877,1.4715,1.1070,0.9106,1.1060,162.5018,1329.6418,496.9323,1174.7713,900.9423,1075.5644,2.0000
0.9746,2.1843,1.4981,0.8432,4.6364,0.6544,750.5608,519.8262,775.2503,429.1484,1057.6084,273.3801,2.0000
0.7158,1.6854,1.1321,0.9770,0.9254,0.5984,568.7563,280.5625,533.2932,934.1609,685.4703,213.6764,2.0000
0.5463,2.0341,1.5692,1.6718,7.8545,0.6917,368.5469,617.2375,796.7975,609.1573,874.4572,228.9390,2.0000
0.9268,2.6142,1.4639,0.7756,0.6776,1.5032,232.0813,641.4781,764.0278,204.2495,619.9309,672.0033,2.0000
1.3997,1.9085,1.0275,1.0460,0.4635,0.8545,791.8596,677.3901,194.8226,838.9941,667.5143,376.6271,2.0000
1.1270,1.1476,0.9159,1.6528,0.5462,0.8779,655.3940,172.8265,422.4149,986.6822,548.1069,340.7151,2.0000
1.6036,1.2690,1.5136,0.9391,6.5146,0.8381,195.7204,174.6221,279.2158,348.3464,360.4667,281.9092,2.0000
0.9000,1.6261,2.0510,0.9387,5.5192,0.6474,527.0086,818.3447,207.3918,992.0690,165.1952,247.3439,2.0000
1.1445,1.1987,1.4403,0.7258,0.9525,0.6711,188.5380,450.6956,688.1637,808.0200,735.2982,255.4241,2.0000
1.3634,3.6750,1.2716,1.0136,1.0655,0.6137,368.0980,634.2957,989.8245,1480.0233,797.2464,553.0448,2.0000
0.6751,1.4467,1.6458,0.8528,6.9213,2.5240,203.8006,287.7449,610.0551,385.1562,788.2684,1149.1840,2.0000
0.6886,4.1799,0.8802,0.9772,8.6935,2.7649,198.8627,160.7062,758.6410,511.2971,486.6076,900.4934,2.0000
0.6603,1.1901,0.6358,0.9431,0.9069,2.4648,169.2353,310.6388,363.6090,430.9440,707.9153,570.5519,2.0000
0.8444,1.5128,0.7791,1.2524,0.8823,1.3551,290.8872,231.1835,613.6463,502.7680,764.9256,738.8894,2.0000
0.7008,1.2053,0.6947,0.9125,1.7432,0.9043,202.0050,231.1835,224.4500,486.6076,466.4071,338.0217,2.0000
1.7712,1.1720,1.7903,0.8999,3.5908,1.4697,399.9699,155.7683,868.6215,367.6491,385.1562,667.9632,2.0000
1.3966,1.3735,0.8402,3.3980,3.8223,1.1247,657.1896,349.2442,1473.7387,866.8259,292.2339,375.7293,2.0000
1.5156,1.1476,1.4164,1.0316,0.8714,1.2574,261.7087,1238.5151,565.1651,375.7293,771.2102,1137.5126,2.0000
1.1916,0.7254,1.1579,1.2612,9.7075,1.5831,236.5703,465.5093,504.5636,1491.6947,548.5558,569.6541,2.0000
1.5114,1.4593,0.9797,0.9084,2.4040,0.9202,761.7833,734.4004,668.8610,167.8886,255.4241,995.6602,2.0000
0.5022,1.6295,3.3272,0.8395,7.8690,4.7945,667.9632,1159.0598,196.6182,657.1896,1374.5318,382.4628,2.0000
0.5916,1.7071,1.7950,0.8188,1.1402,2.0152,179.5600,649.1094,606.0150,757.7432,760.8855,772.1080,2.0000
0.5559,1.2701,0.5919,0.9826,7.1952,2.2040,494.2389,253.1796,194.8226,1188.2383,745.1740,151.7282,2.0000
1.2467,1.1443,0.6381,0.5645,0.9785,0.8327,232.5302,411.1924,167.4397,272.4823,579.9788,527.9064,2.0000
0.9502,1.0911,1.5724,0.5981,0.9016,0.9267,412.5391,202.4539,432.2907,634.7446,903.1868,672.4522,2.0000
0.8661,1.5093,1.1088,0.7666,0.8968,1.6636,1312.5836,187.1913,359.5689,615.4419,848.8699,540.0267,2.0000
0.8459,2.3784,2.0179,0.5832,1.1636,1.0949,833.6073,435.4330,276.9713,526.1108,720.9334,741.1339,2.0000
0.8620,1.2444,1.7644,0.5318,0.8407,2.6530,631.6023,216.8187,855.1545,179.5600,911.2670,1262.7557,2.0000
0.5476,2.4008,1.3137,0.8520,0.7965,0.6620,427.8017,251.8329,960.1971,610.0551,1084.9913,409.8457,2.0000
0.7700,1.3167,0.5995,1.0535,0.4003,1.5757,1003.7404,402.6633,218.6143,418.3748,178.2133,401.3166,2.0000
0.7195,1.3159,0.6950,1.0323,8.3127,3.4015,813.8557,599.2815,207.3918,508.6037,830.4650,549.0047,2.0000
0.6361,3.0145,1.0979,1.2272,0.9534,1.1617,309.2921,1005.9849,588.9568,469.5494,509.5015,983.5399,2.0000
0.5659,2.7475,1.0549,0.9728,0.8041,0.8247,441.7176,215.0231,544.9646,865.9281,714.6488,181.8045,2.0000
0.9836,1.0421,0.8019,0.7621,0.9865,0.6899,664.3720,545.8624,292.6828,397.7254,637.4380,429.5973,2.0000
0.9708,1.3915,1.1651,0.9362,0.8419,0.6351,942.6900,535.5377,739.3383,542.2712,948.9746,596.1392,2.0000
0.9217,1.3950,1.0745,1.0129,0.7118,2.9605,843.9320,350.5909,402.6633,155.3194,571.8986,1230.8838,2.0000
0.6827,2.6759,0.7620,1.1748,8.8137,3.1490,566.9607,232.0813,193.4759,195.7204,395.0320,462.8159,2.0000
1.2532,1.9728,0.8912,1.2294,9.0992,3.6367,497.3812,611.8507,581.7744,746.9696,716.4444,1390.6922,2.0000
0.9732,1.4356,1.6323,,3.8927,2.6838,487.9543,572.7964,643.2737,,768.9657,332.6349,2.0000
1.4223,1.2560,0.7184,,2.9046,2.9483,486.1587,280.5625,1467.4541,,160.7062,503.2169,2.0000
1.3426,1.9167,1.0799,,4.3104,0.8492,364.0579,448.0022,411.6413,,908.1247,1033.8167,2.0000
1.4311,2.1206,1.0035,,0.8784,0.6686,339.3684,691.7549,790.0640,,781.9838,600.6282,2.0000
1.4228,1.4431,1.1782,,0.9867,0.7958,1313.0325,637.8869,864.1325,,955.7081,458.7758,2.0000
1.2624,1.9398,0.9384,,4.8262,0.6841,402.6633,527.4575,383.8095,,386.0540,318.7190,2.0000
1.1818,1.7572,0.9942,,4.4271,0.6080,619.0331,713.3021,168.7864,,707.9153,607.3617,2.0000
1.4501,0.7690,1.1467,,0.9861,0.6981,491.9944,291.7850,216.3698,,659.4341,307.0476,2.0000
1.0719,0.7342,0.7590,,1.0159,0.8937,651.3539,158.9106,401.7655,,687.7148,176.8666,2.0000
1.1167,1.0352,0.5774,,0.9828,1.2791,289.0916,175.5199,183.6001,,674.2478,580.4277,2.0000
1.1069,1.0122,0.6978,,0.9628,0.9319,467.7538,376.1782,157.5639,,696.6928,529.7020,2.0000
0.9865,0.9770,0.6492,,5.5308,4.8121,667.5143,222.2055,184.0490,,482.1186,241.0593,2.0000
0.9332,0.8686,0.6695,,1.0040,1.1267,159.3595,1089.0314,978.6020,,173.2754,914.8582,2.0000
1.0854,1.0737,0.6989,,1.0442,1.3995,914.4093,655.3940,299.4163,,1256.4711,1165.7933,2.0000
0.7828,0.9960,0.9613,,0.9513,0.8946,923.8362,485.2609,809.8156,,724.0757,253.1796,2.0000
1.3453,0.8649,0.8793,,0.8296,0.6570,426.9039,253.6285,425.5572,,338.9195,364.0579,2.0000
0.8700,0.7945,0.7009,,4.9357,0.8852,237.0192,578.1832,151.2793,,386.9518,803.0821,2.0000
0.6893,1.6876,1.5259,,0.8450,0.8552,1348.0467,277.4202,1300.0144,,708.3642,862.7858,2.0000
0.5637,0.9098,1.4570,,2.2600,1.8902,1119.1077,363.1601,515.3372,,206.9429,527.0086,2.0000
0.6100,1.0352,1.3971,,0.6431,2.4157,589.8546,786.9217,758.6410,,470.8961,559.3294,2.0000
0.6390,0.9993,0.7698,,1.6197,2.8736,796.7975,237.9170,218.1654,,347.4486,651.8028,2.0000
0.5283,2.3658,0.7329,,3.4657,1.3214,176.8666,1043.2436,175.0710,,279.2158,419.2726,2.0000
0.7872,1.7737,1.4226,,7.3352,1.3021,983.0910,614.0952,190.3336,,299.8652,796.3486,2.0000
0.7224,2.6766,5.0207,,3.8160,0.7195,728.1158,202.0050,512.1949,,394.1342,1314.3792,2.0000
0.7168,0.7926,1.0733,,1.3767,1.2914,569.6541,1339.0687,224.8989,,502.7680,159.3595,2.0000
0.6708,0.8702,0.6293,,0.5448,1.1598,830.0161,194.8226,495.5856,,351.0398,492.8922,2.0000
0.5177,1.2982,0.7765,,2.3698,0.7914,482.5675,200.2094,937.3032,,661.6786,1144.2461,2.0000
0.7136,1.2287,0.7397,,1.2622,0.8754,1194.5229,184.9468,336.6750,,612.7485,927.4274,2.0000
0.6414,1.1581,1.8592,,1.0474,0.7258,214.5742,674.6967,547.6580,,572.7964,515.7861,2.0000
0.6291,1.5282,1.7166,,0.5074,0.8415,696.2439,472.6917,623.0732,,319.1679,713.3021,2.0000
0.7169,2.0216,1.1225,,0.6598,2.9942,988.9267,381.1161,685.4703,,225.7967,1117.3121,2.0000
0.7941,0.7787,1.3302,,6.4956,2.7797,203.8006,263.5043,333.9816,,257.2197,1396.9768,2.0000
0.9169,1.7310,0.6678,,1.5184,0.7031,657.1896,472.2428,157.5639,,151.7282,806.6733,2.0000
0.5443,1.0980,0.7072,,0.6630,1.1443,158.9106,390.0941,231.1835,,549.0047,712.4043,2.0000
1.4010,3.8886,1.3451,,9.3868,0.8336,289.0916,1140.2060,202.0050,,988.9267,402.2144,2.0000
1.0135,4.7078,1.0542,,0.4006,1.0203,723.6268,192.1292,516.6839,,242.4060,488.4032,2.0000
1.0369,1.6363,1.2333,,4.3240,1.1140,429.1484,709.7109,715.0977,,555.2893,953.0147,2.0000
0.5369,1.2217,1.2427,,6.4007,0.6983,430.9440,521.1729,974.5619,,241.0593,269.7889,2.0000
0.5748,2.9148,1.2001,,,1.7475,363.1601,531.0487,629.3578,,,368.9958,2.0000
0.8344,1.5047,1.0602,,,0.9255,700.7329,213.6764,824.6293,,,313.7811,2.0000
0.8180,1.3787,0.8832,,,1.4365,363.1601,869.9682,277.4202,,,695.7950,2.0000
1.3537,1.4330,0.8750,,,1.0554,535.5377,856.0523,275.1757,,,880.7418,2.0000
1.5285,1.0079,2.5798,,,0.6037,311.5366,241.5082,693.1016,,,642.8248,2.0000
0.6675,0.9494,1.3156,,,0.9236,591.2013,805.7755,434.5352,,,820.5892,2.0000
0.9490,0.8968,1.0947,,,0.9213,858.2968,1433.7866,751.0097,,,797.2464,2.0000
0.5371,0.7698,1.2165,,,1.5051,276.9713,1194.5229,676.4923,,,923.3873,2.0000
0.5157,0.9329,0.9627,,,0.7199,306.1498,443.9621,767.1701,,,865.0303,2.0000
0.6754,1.1102,1.3566,,,0.6213,274.7268,349.6931,748.7652,,,178.2133,2.0000
0.9382,0.9217,0.8991,,,0.8986,436.3308,1339.5176,311.5366,,,579.5299,2.0000
0.5353,0.7250,1.0245,,,0.7005,164.7463,171.9287,549.0047,,,495.1367,2.0000
