"no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF","no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF",
0.7838,0.9083,4.2674,1.1756,0.9890,1.4738,156.2172,1221.0080,340.2662,166.5419,162.9507,455.6335,1.0000
0.8407,1.1115,1.1914,2.7921,1.0253,5.4296,200.2094,939.0988,651.8028,167.4397,452.4912,457.4291,1.0000
1.1996,0.6331,1.6300,2.3780,1.1585,2.5589,1267.2447,577.7343,1013.1673,1258.7156,285.9493,437.6775,1.0000
1.4855,0.9328,1.3589,1.2869,1.0362,5.6611,450.6956,327.6970,785.5750,152.1771,469.9983,177.3155,1.0000
1.4021,0.8686,1.6024,1.1265,2.5289,5.9557,288.1938,1118.2099,801.2865,188.0891,375.2804,693.5505,1.0000
0.9298,0.7263,11.1346,1.7680,1.7259,10.3190,1048.1815,937.7521,778.8415,295.3762,560.2272,1155.0197,1.0000
0.8579,1.1265,7.7835,1.4537,1.1232,1.4809,450.2467,221.3077,945.3834,279.2158,304.8031,238.8148,1.0000
0.9227,1.0057,9.3501,1.7027,4.9288,1.3487,180.4578,1080.5023,789.6151,197.5160,837.6474,548.1069,1.0000
0.7209,1.2083,1.7428,1.0335,3.7362,4.1295,201.5561,912.6137,275.6246,182.7023,259.0153,432.2907,1.0000
1.2725,1.3151,8.8658,0.8812,2.4106,6.4146,1064.3419,162.0529,688.1637,153.9727,276.0735,507.2570,1.0000
1.2318,2.1890,1.4093,1.0091,1.6579,13.2006,222.2055,1418.5240,659.4341,352.8354,887.9242,912.6137,1.0000
1.5119,0.8732,6.2436,1.5905,5.0321,4.6783,945.3834,712.8532,474.9362,435.4330,982.1932,677.8390,1.0000
1.3841,1.5746,5.2840,1.5961,1.2815,5.6633,1160.4065,749.2141,671.1055,175.9688,837.1985,564.2673,1.0000
0.8038,1.2614,9.7710,1.4507,5.4288,3.0464,201.5561,1196.3185,1006.8827,284.6026,1124.0456,470.8961,1.0000
1.5482,2.9208,0.9128,1.4118,1.1814,1.6884,588.0590,865.0303,647.7627,174.1732,1049.9771,711.0576,1.0000
0.7858,5.7322,0.9988,1.3843,3.2975,2.6421,158.9106,415.2325,705.6708,215.0231,158.4617,688.6126,1.0000
1.1244,0.9860,1.9570,1.2884,8.1329,1.5471,404.4589,316.9234,593.4458,437.6775,487.5054,461.9181,1.0000
1.0176,2.5016,1.0826,1.2182,2.5645,1.5977,966.9306,1170.2823,409.3968,176.8666,459.6736,397.2765,1.0000
1.1538,1.6832,1.4355,1.3496,3.7919,4.2343,570.5519,1331.8863,997.9047,327.2481,682.7769,731.7070,1.0000
1.0990,2.1369,1.1484,1.0493,0.9279,2.6870,736.6449,1069.2798,1030.2255,162.5018,816.5491,838.5452,1.0000
1.2070,1.7765,1.1846,1.5129,2.2921,4.4431,391.4408,788.7173,323.6569,297.1718,1127.6368,634.2957,1.0000
1.1655,1.5765,1.1569,1.2399,2.2390,3.6163,587.6101,1383.5098,1152.7752,539.5778,257.2197,1136.6148,1.0000
0.8618,1.0780,3.5691,1.2935,1.1807,1.1179,1007.3316,823.7315,695.7950,284.6026,1196.3185,190.3336,1.0000
0.9943,1.4917,9.7091,0.9030,0.8985,1.1874,293.1317,1024.8387,817.4469,178.2133,469.5494,257.2197,1.0000
0.7627,1.4079,1.5148,1.2604,1.1878,4.1789,288.1938,799.0420,910.8181,201.1072,372.1381,177.3155,1.0000
0.7294,6.0460,7.0985,2.5307,1.1264,3.6138,208.2896,769.4146,720.9334,222.6544,288.1938,497.3812,1.0000
0.7201,1.6789,0.7555,1.4303,2.1337,3.0749,153.9727,925.1829,202.0050,188.5380,337.1239,311.0877,1.0000
0.6733,2.3124,0.5781,1.5280,0.9435,1.4949,298.0696,833.6073,408.0501,195.2715,330.3904,1046.8348,1.0000
0.7122,1.5036,1.1009,1.3977,0.9639,2.1072,658.9852,945.8323,481.6697,158.4617,1011.3717,376.6271,1.0000
0.7491,0.7782,1.7899,1.2655,5.3501,14.2573,163.8485,159.3595,707.9153,192.5781,783.3305,661.6786,1.0000
0.8174,0.7718,0.9068,1.3662,3.5143,7.8380,329.4926,317.8212,734.4004,167.4397,639.6825,681.8791,1.0000
1.3828,2.8038,1.4140,1.3573,3.9455,4.5103,944.0367,747.4185,1058.5062,151.2793,316.9234,194.3737,1.0000
0.9161,0.8419,1.1165,1.1747,1.1524,10.5871,738.8894,838.9941,614.5441,262.6065,200.6583,1150.9796,1.0000
1.0665,0.7993,1.3836,1.3019,1.0774,1.4953,1335.4775,644.1715,796.7975,225.3478,976.8064,328.1459,1.0000
1.0256,0.7651,1.0089,1.1082,1.4640,2.7719,458.7758,253.1796,917.5516,174.1732,331.2882,286.3982,1.0000
0.6704,0.9834,1.0124,1.7400,1.9296,15.0855,194.3737,891.0665,457.4291,430.0462,588.0590,448.0022,1.0000
1.5169,0.8956,1.3234,1.5058,1.4220,5.7047,293.1317,635.1935,684.5725,160.7062,227.1434,588.0590,1.0000
0.7199,0.9602,1.4478,0.9094,0.9076,1.3669,264.4021,840.3408,965.1350,159.8084,1245.2486,514.4394,1.0000
0.9430,1.0472,1.2681,1.0296,0.8253,1.4831,588.9568,549.9025,1411.3416,160.7062,680.5324,181.8045,1.0000
0.7368,0.8668,1.3229,0.9974,0.9496,1.9606,245.9972,637.8869,597.4859,382.0139,337.1239,564.2673,1.0000
0.7085,0.9699,0.9252,0.9036,2.9441,6.7083,261.7087,1004.6382,639.2336,241.5082,496.9323,415.2325,1.0000
0.7579,1.0088,10.9722,2.4789,1.3962,10.1166,816.9980,985.7844,871.3149,1073.7688,1237.6173,890.6176,1.0000
1.0720,0.9425,1.0945,1.5683,2.2102,2.6485,490.6477,476.2829,200.6583,616.7886,546.7602,457.4291,1.0000
1.0536,1.0667,2.9487,0.8228,3.9287,1.4372,1028.8788,827.7716,682.7769,421.0682,463.2648,583.5700,1.0000
0.7290,0.8258,3.7940,3.0156,3.8194,4.6718,1115.9654,932.8142,947.1790,685.9192,363.1601,188.5380,1.0000
0.9656,0.9777,1.3581,1.6118,1.0149,1.9819,626.6644,1049.9771,932.3653,694.4483,1296.4232,582.2233,1.0000
0.8305,0.9060,1.4164,3.8874,1.0267,11.5057,779.2904,702.5285,896.4533,342.0618,329.9415,648.2116,1.0000
0.5872,1.6981,1.0551,1.0071,3.7738,10.4535,400.4188,992.0690,749.6630,302.5586,953.4636,373.4848,1.0000
0.9321,0.8379,1.3087,5.5352,3.6565,2.0264,185.3957,383.8095,828.2205,433.1885,334.4305,768.9657,1.0000
1.0078,1.0601,1.2643,1.4718,1.2842,9.9052,954.3614,310.1899,1014.0651,625.7666,1148.7351,579.5299,1.0000
0.5369,1.0884,1.1424,10.8175,0.7174,2.2129,473.5895,998.3536,482.5675,987.1311,173.7243,710.6087,1.0000
0.4980,0.7545,1.3461,1.2790,0.8956,4.9870,465.0604,246.8950,947.6279,628.4600,243.7527,1023.4920,1.0000
0.8622,0.8525,1.6575,1.2526,1.0016,5.2699,1465.6585,1027.9810,158.9106,320.9635,709.2620,705.6708,1.0000
0.8369,0.7223,5.8472,1.9728,0.8477,1.3029,708.3642,532.3954,616.3397,729.4625,408.9479,287.2960,1.0000
0.8225,2.1212,1.3202,9.4086,0.7178,3.4568,451.5934,321.4124,1265.0002,558.8805,326.7992,339.3684,1.0000
1.1633,0.8142,1.2401,1.8774,0.9357,1.4943,1112.3742,332.1860,821.4870,896.9022,1453.9871,206.4940,1.0000
1.0663,1.0319,1.2067,7.2934,0.7797,1.7629,544.9646,446.6555,423.3127,693.9994,259.0153,438.1264,1.0000
3.2854,3.0487,1.5997,1.2912,7.0536,2.2633,213.2275,797.2464,826.4249,842.5853,487.9543,761.3344,1.0000
0.9770,0.8438,1.9986,1.1442,1.9236,1.2916,680.5324,329.0437,965.1350,227.5923,542.2712,527.9064,1.0000
1.4142,1.1733,4.1094,1.7054,1.0518,5.2853,492.4433,806.2244,493.3411,647.3138,180.0089,1036.0612,1.0000
0.8502,1.1939,6.9852,1.1147,0.9864,2.2094,510.8482,869.0704,702.5285,788.2684,172.3776,357.3244,1.0000
0.8417,1.1665,1.2887,3.2631,6.1013,1.4146,416.1303,350.1420,989.8245,755.9476,290.4383,588.9568,1.0000
1.0010,6.3952,3.3819,1.6206,5.8522,2.7923,658.9852,1184.1982,433.6374,625.3177,630.2556,408.0501,1.0000
1.1349,0.9252,0.9979,1.5571,1.2247,7.8571,676.9412,200.2094,719.5867,1146.4906,713.3021,492.8922,1.0000
0.7292,1.2730,1.3827,0.9563,1.9827,1.8527,682.3280,842.5853,1341.3132,197.5160,1203.5009,714.6488,1.0000
0.9447,2.1006,1.3755,0.9357,1.3707,1.6141,800.8376,232.9791,747.8674,174.6221,923.8362,699.8351,1.0000
1.1294,0.9914,1.3593,1.2587,0.7002,1.3288,981.2954,597.0370,816.9980,307.4965,206.4940,356.4266,1.0000
0.7090,1.2322,1.2131,2.7365,1.0083,3.2019,434.0863,975.9086,764.0278,809.8156,753.7031,194.8226,1.0000
0.7348,1.2134,1.9157,6.1586,1.2201,2.9331,379.7694,342.5107,406.7034,417.0281,793.6552,364.5068,1.0000
0.6836,1.3084,1.1636,8.1567,1.1074,1.2215,245.9972,784.2283,563.8184,703.8752,898.2489,223.1033,1.0000
0.9526,1.0543,1.2749,1.5844,1.5863,2.1192,941.3433,917.1027,378.8716,887.9242,477.6296,801.2865,1.0000
0.9315,1.1560,1.3774,3.2135,3.8283,2.7919,1236.7195,834.9540,860.9902,1383.9587,292.6828,236.1214,1.0000
